id,name,description,who,snomed,program_area_id,uuid,created_at,updated_at
1,"{""en"": ""Meningitis""}","{""en"": ""<div> Neonatal, bacterial, viral and other types of meningitis </div>""}",,,3,e5c401ef-c8d7-451d-89b7-78553379d757,"2020-12-10 22:02:21","2020-12-10 22:02:21"
2,"{""en"": ""Whooping Cough""}","{""en"": ""<div> </div>""}",,,2,77331e34-4590-4a78-a889-084deb3b5682,"2020-12-10 22:04:07","2020-12-10 22:04:07"
3,"{""en"": ""Encephalitis""}","{""en"": ""<div> </div>""}",,,3,a566c370-f975-452c-9451-cc6322ee4e1a,"2020-12-10 22:04:57","2020-12-10 22:04:57"
4,"{""en"": ""Measles""}","{""en"": ""<div> </div>""}",,,2,24fbc8d5-93a5-4168-ab61-b220e8bf9f99,"2020-12-10 22:07:15","2020-12-10 22:07:15"
5,"{""en"": ""Trichomoniasis""}","{""en"": ""<div>Trichomoniasis</div>""}",,,3,7e9e8039-c95f-457a-bb3d-e9a49caf4cfb,"2021-01-08 07:48:50","2021-01-08 07:48:50"
6,"{""en"": ""HIV/AIDS""}","{""en"": ""<div>HIV</div>""}",,,3,a304ce52-f916-4b92-99cb-1643530dc4ec,"2021-01-08 07:56:53","2021-01-08 07:56:53"
7,"{""en"": ""Tuberculosis""}","{""en"": ""<div>Tuberculosis</div>""}",,,3,f970e8a9-8f61-474a-921d-997db9bcc651,"2021-01-08 07:57:17","2021-01-08 08:07:57"
8,"{""en"": ""Syphilis""}","{""en"": ""<div>Syphilis</div>""}",,,3,3262eaf9-9e3f-4219-b640-5a6242ddb085,"2021-01-08 08:08:38","2021-01-08 08:08:38"
9,"{""en"": ""Other STDs""}","{""en"": ""<div>Other Sexually Transmitted Diseases </div>""}",,,3,87672440-cdd1-451e-a1c7-7f4d232e7a78,"2021-01-08 08:08:59","2021-01-08 08:08:59"
10,"{""en"": ""Gonorrhoea""}","{""en"": ""<div>Gonorrhoea</div>""}",,,3,3c518d86-2e39-4535-85a8-8041e3b72246,"2021-01-10 01:36:36","2021-01-10 01:36:39"
11,"{""en"": ""Genital herpes""}","{""en"": ""<div>Genital herpes</div>""}",,,3,42708b2a-2fb1-4a93-85a6-76311a3c315f,"2021-01-10 01:37:23","2021-01-10 01:37:27"
12,"{""en"": ""Chlamydia""}","{""en"": ""<div>Chlamydia</div>""}",,,3,b402b187-658e-4a4b-bbfc-f33179b877a5,"2021-01-10 01:38:04","2021-01-10 01:38:06"
13,"{""en"": ""Trachoma""}","{""en"": ""<div>Trachoma</div>""}",,,4,3592d6e6-87d9-4732-a233-ec41d47a909f,"2021-01-10 01:39:04","2021-01-10 01:39:07"
14,"{""en"": ""Dengue""}","{""en"": ""<div>Dengue</div>""}",,,4,64d6620e-056b-4fff-a18f-fb50bddee6c3,"2021-01-10 01:39:42","2021-01-10 01:39:44"
15,"{""en"": ""Diarrhoeal diseases""}","{""en"": ""<div> </div>""}",,,3,3fe66078-27f1-4574-85ea-f23ee371c3ae,"2021-01-19 11:14:01","2021-01-19 11:14:01"
17,"{""en"": ""Onchocerciasis""}","{""en"": ""<div> </div>""}",,,4,bad72a27-e83e-4d6d-a649-65788f02971f,"2021-01-19 11:14:59","2021-01-19 11:14:59"
18,"{""en"": ""Lymphatic filariasis""}","{""en"": ""<div> </div>""}",,,4,d6f2860f-69f0-4e81-85b3-c4a2d93a8a9d,"2021-01-19 11:15:35","2021-01-19 11:15:35"
19,"{""en"": ""Diphtheria""}","{""en"": ""<div> </div>""}",,,2,11297372-2e97-48ee-8fed-ef848b32cc2d,"2021-01-19 11:16:00","2021-01-19 11:16:00"
20,"{""en"": ""Acute Hepatitis B""}","{""en"": ""<div> </div>""}",,,3,ff2c7085-83db-4312-9b6d-12d95adbcd68,"2021-01-19 11:16:26","2021-01-19 11:16:26"
21,"{""en"": ""Hepatitis A""}","{""en"": ""<div> </div>""}",,,3,f09fff73-3987-440c-8088-9ab09fd12b18,"2021-01-19 11:16:52","2021-01-19 11:16:52"
22,"{""en"": ""Hepatitis E""}","{""en"": ""<div> </div>""}",,,3,03707de6-de97-4c9b-8061-577cf12a3b0a,"2021-01-19 11:17:21","2021-01-19 11:17:21"
23,"{""en"": ""Diabetes mellitus""}","{""en"": ""<div> </div>""}",,,6,998e4bce-a27a-4688-9093-99f934f1d597,"2021-01-19 11:17:52","2021-01-19 11:17:52"
